Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Томат;9811490;БАРОН;2005;;гибрид первого поколения;-;-;-;детерминантное;защищенный грунт;плоскоокруглая;
Земляника;9154483;БАРОН СОЛЕМАХЕР;2013;*;-;-;-;ремонтантный;-;садово-огородный;-;
Капуста белокочанная;9052612;БАРОНЕССА;2011;5;гибрид первого поколения;-;-;средний (среднеспелый);-;товарное производство;-;
Томат;9051821;БАРОНЕССА;2010;*;гибрид первого поколения;салатный;-;средний (среднеспелый);детерминантное;садово-огородный;плоскоокруглая;
Мятлик луговой;8756371;БАРОНИАЛ;2014;*;-;газонная трава;-;-;-;-;-;
Овсяница тростниковая;8654288;БАРОПТИМА;2017;*;-;кормовой;-;-;-;-;-;
Райграс пастбищный;8558410;БАРОРЛАНДО;2016;*;-;газонная трава;-;-;-;-;-;
Тимофеевка луговая;8654290;БАРПЕНТА;2017;5, 12;-;-;-;-;-;-;-;
Овсяница красная;8756372;БАРПЕРЛ;2015;*;-;газонная трава;-;-;-;-;-;
Райграс многоукосный;8756391;БАРПЛУТО;2015;*;-;для газонов и на корм;-;-;-;-;-;
Томат;7652618;БАРРИ;2024;6;гибрид первого поколения;универсальные(ый);-;ранний (раннеспелый);детерминантное;товарное производство;округлая;
Подсолнечник;9553618;БАРС;2008;8;простой гибрид;-;-;среднеранний;высокомасличный;-;-;
Соя;8261471;БАРС;2020;6, 8, 12;-;-;-;среднеранний;-;-;-;11248
Подсолнечник;8355642;БАРСЕЛО;2019;6, 7, 8, 9;простой гибрид;-;-;средний (среднеспелый);-;-;-;10271
Капуста цветная;9464262;БАРСЕЛОНА;2007;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;-;
Огурец;9153893;БАРСЕЛОНА;2009;;гибрид первого поколения;салатный;-;-;партенокарпическое;сад.-огород. для з/грунта;-;
Райграс пастбищный;8756373;БАРСИГНУМ;2014;*;-;газонная трава;-;-;-;-;-;
Райграс однолетний;8853768;БАРСПЕКТРА II;2012;*;-;для газонов и на корм;-;-;-;-;-;
Свекла сахарная;8756641;БАРТАВЕЛЛА;2015;6;гибрид первого поколения;-;-;-;урожайно-сахаристый-среднеспелый;-;-;
Райграс пастбищный;8654291;БАРТАСЬЯ;2017;5, 7, 9, 10;-;-;-;-;-;-;-;
Томат;8457015;БАРТЕЗА;2019;*;гибрид первого поколения;салатный;-;средний (среднеспелый);индетерминантное;сад.-огород. для з/грунта;плоскоокруглая;
Райграс многоукосный;8457866;БАРТЕРРА;2017;*;-;газонная трава;-;-;-;-;-;
Райграс однолетний;9154920;БАРТИГРА;2011;*;-;для газонов и на корм;-;-;-;-;-;
Салат;7953561;БАРТИМЕР;2022;*;-;-;-;-;листовой;садово-огородный;-;
